path,file,event_type,source,well,n_obs,step_seconds,duration_s,leading_unlabelled,n_unlabelled,onset_pos,pre_event_labelled_normal,pre_event_total,has_transient,labels,n_vars_all_nan,vars_all_nan,n_vars_partial_nan
dataset/0/WELL-00001_20170218150135.parquet,WELL-00001_20170218150135.parquet,0,REAL,WELL-00001,21506,1.0,21505.0,3600,3600,-1,0,21506,False,{'0': 17906},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170219010042.parquet,WELL-00001_20170219010042.parquet,0,REAL,WELL-00001,21559,1.0,21558.0,3600,3600,-1,0,21559,False,{'0': 17959},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170219060031.parquet,WELL-00001_20170219060031.parquet,0,REAL,WELL-00001,21570,1.0,21569.0,3600,3600,-1,0,21570,False,{'0': 17970},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170219110021.parquet,WELL-00001_20170219110021.parquet,0,REAL,WELL-00001,21580,1.0,21579.0,3600,3600,-1,0,21580,False,{'0': 17980},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170219160053.parquet,WELL-00001_20170219160053.parquet,0,REAL,WELL-00001,21548,1.0,21547.0,3600,3600,-1,0,21548,False,{'0': 17948},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170219210332.parquet,WELL-00001_20170219210332.parquet,0,REAL,WELL-00001,21389,1.0,21388.0,3600,3600,-1,0,21389,False,{'0': 17789},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170421090251.parquet,WELL-00001_20170421090251.parquet,0,REAL,WELL-00001,24759,1.0,24758.0,3600,3600,-1,0,24759,False,{'0': 21159},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170422030000.parquet,WELL-00001_20170422030000.parquet,0,REAL,WELL-00001,25058,1.0,25057.0,3600,3600,-1,0,25058,False,{'0': 21458},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170424170042.parquet,WELL-00001_20170424170042.parquet,0,REAL,WELL-00001,21559,1.0,21558.0,3600,3600,-1,0,21559,False,{'0': 17959},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170424220156.parquet,WELL-00001_20170424220156.parquet,0,REAL,WELL-00001,21485,1.0,21484.0,3600,3600,-1,0,21485,False,{'0': 17885},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170425030207.parquet,WELL-00001_20170425030207.parquet,0,REAL,WELL-00001,21474,1.0,21473.0,3600,3600,-1,0,21474,False,{'0': 17874},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170425080343.parquet,WELL-00001_20170425080343.parquet,0,REAL,WELL-00001,21378,1.0,21377.0,3600,3600,-1,0,21378,False,{'0': 17778},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170425130042.parquet,WELL-00001_20170425130042.parquet,0,REAL,WELL-00001,21559,1.0,21558.0,3600,3600,-1,0,21559,False,{'0': 17959},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170520180000.parquet,WELL-00001_20170520180000.parquet,0,REAL,WELL-00001,21421,1.0,21420.0,3600,3600,-1,0,21421,False,{'0': 17821},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170520230000.parquet,WELL-00001_20170520230000.parquet,0,REAL,WELL-00001,21549,1.0,21548.0,3600,3600,-1,0,21549,False,{'0': 17949},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170521040000.parquet,WELL-00001_20170521040000.parquet,0,REAL,WELL-00001,21472,1.0,21471.0,3600,3600,-1,0,21472,False,{'0': 17872},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170521090000.parquet,WELL-00001_20170521090000.parquet,0,REAL,WELL-00001,21472,1.0,21471.0,3600,3600,-1,0,21472,False,{'0': 17872},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170521140000.parquet,WELL-00001_20170521140000.parquet,0,REAL,WELL-00001,21498,1.0,21497.0,3600,3600,-1,0,21498,False,{'0': 17898},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170521190000.parquet,WELL-00001_20170521190000.parquet,0,REAL,WELL-00001,21408,1.0,21407.0,3600,3600,-1,0,21408,False,{'0': 17808},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170522000000.parquet,WELL-00001_20170522000000.parquet,0,REAL,WELL-00001,21562,1.0,21561.0,3600,3600,-1,0,21562,False,{'0': 17962},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170522050000.parquet,WELL-00001_20170522050000.parquet,0,REAL,WELL-00001,21562,1.0,21561.0,3600,3600,-1,0,21562,False,{'0': 17962},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170522100000.parquet,WELL-00001_20170522100000.parquet,0,REAL,WELL-00001,21575,1.0,21574.0,3600,3600,-1,0,21575,False,{'0': 17975},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170522150000.parquet,WELL-00001_20170522150000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170522200000.parquet,WELL-00001_20170522200000.parquet,0,REAL,WELL-00001,21524,1.0,21523.0,3600,3600,-1,0,21524,False,{'0': 17924},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170523010012.parquet,WELL-00001_20170523010012.parquet,0,REAL,WELL-00001,21499,1.0,21498.0,3600,3600,-1,0,21499,False,{'0': 17899},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170523060000.parquet,WELL-00001_20170523060000.parquet,0,REAL,WELL-00001,21434,1.0,21433.0,3600,3600,-1,0,21434,False,{'0': 17834},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170523110000.parquet,WELL-00001_20170523110000.parquet,0,REAL,WELL-00001,21434,1.0,21433.0,3600,3600,-1,0,21434,False,{'0': 17834},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170523160000.parquet,WELL-00001_20170523160000.parquet,0,REAL,WELL-00001,21242,1.0,21241.0,3600,3600,-1,0,21242,False,{'0': 17642},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170523210000.parquet,WELL-00001_20170523210000.parquet,0,REAL,WELL-00001,21575,1.0,21574.0,3600,3600,-1,0,21575,False,{'0': 17975},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170524020000.parquet,WELL-00001_20170524020000.parquet,0,REAL,WELL-00001,21485,1.0,21484.0,3600,3600,-1,0,21485,False,{'0': 17885},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170524070000.parquet,WELL-00001_20170524070000.parquet,0,REAL,WELL-00001,21575,1.0,21574.0,3600,3600,-1,0,21575,False,{'0': 17975},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170524120000.parquet,WELL-00001_20170524120000.parquet,0,REAL,WELL-00001,21562,1.0,21561.0,3600,3600,-1,0,21562,False,{'0': 17962},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170524170000.parquet,WELL-00001_20170524170000.parquet,0,REAL,WELL-00001,21549,1.0,21548.0,3600,3600,-1,0,21549,False,{'0': 17949},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170524220000.parquet,WELL-00001_20170524220000.parquet,0,REAL,WELL-00001,21498,1.0,21497.0,3600,3600,-1,0,21498,False,{'0': 17898},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170525030000.parquet,WELL-00001_20170525030000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170525080000.parquet,WELL-00001_20170525080000.parquet,0,REAL,WELL-00001,21524,1.0,21523.0,3600,3600,-1,0,21524,False,{'0': 17924},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170525130000.parquet,WELL-00001_20170525130000.parquet,0,REAL,WELL-00001,21549,1.0,21548.0,3600,3600,-1,0,21549,False,{'0': 17949},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170525180000.parquet,WELL-00001_20170525180000.parquet,0,REAL,WELL-00001,21498,1.0,21497.0,3600,3600,-1,0,21498,False,{'0': 17898},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170525230000.parquet,WELL-00001_20170525230000.parquet,0,REAL,WELL-00001,21549,1.0,21548.0,3600,3600,-1,0,21549,False,{'0': 17949},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170526040000.parquet,WELL-00001_20170526040000.parquet,0,REAL,WELL-00001,21447,1.0,21446.0,3600,3600,-1,0,21447,False,{'0': 17847},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170526090000.parquet,WELL-00001_20170526090000.parquet,0,REAL,WELL-00001,21472,1.0,21471.0,3600,3600,-1,0,21472,False,{'0': 17872},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170526140000.parquet,WELL-00001_20170526140000.parquet,0,REAL,WELL-00001,21434,1.0,21433.0,3600,3600,-1,0,21434,False,{'0': 17834},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170526190000.parquet,WELL-00001_20170526190000.parquet,0,REAL,WELL-00001,21524,1.0,21523.0,3600,3600,-1,0,21524,False,{'0': 17924},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170527000000.parquet,WELL-00001_20170527000000.parquet,0,REAL,WELL-00001,21524,1.0,21523.0,3600,3600,-1,0,21524,False,{'0': 17924},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170527050000.parquet,WELL-00001_20170527050000.parquet,0,REAL,WELL-00001,21562,1.0,21561.0,3600,3600,-1,0,21562,False,{'0': 17962},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170527100000.parquet,WELL-00001_20170527100000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170527150000.parquet,WELL-00001_20170527150000.parquet,0,REAL,WELL-00001,21421,1.0,21420.0,3600,3600,-1,0,21421,False,{'0': 17821},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170527200000.parquet,WELL-00001_20170527200000.parquet,0,REAL,WELL-00001,21524,1.0,21523.0,3600,3600,-1,0,21524,False,{'0': 17924},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170528010000.parquet,WELL-00001_20170528010000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170528060000.parquet,WELL-00001_20170528060000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170528110000.parquet,WELL-00001_20170528110000.parquet,0,REAL,WELL-00001,21536,1.0,21535.0,3600,3600,-1,0,21536,False,{'0': 17936},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170528160000.parquet,WELL-00001_20170528160000.parquet,0,REAL,WELL-00001,21562,1.0,21561.0,3600,3600,-1,0,21562,False,{'0': 17962},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170528210000.parquet,WELL-00001_20170528210000.parquet,0,REAL,WELL-00001,21421,1.0,21420.0,3600,3600,-1,0,21421,False,{'0': 17821},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170626090246.parquet,WELL-00001_20170626090246.parquet,0,REAL,WELL-00001,21244,1.0,21243.0,3600,3600,-1,0,21244,False,{'0': 17644},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170626140123.parquet,WELL-00001_20170626140123.parquet,0,REAL,WELL-00001,21232,1.0,21231.0,3600,3600,-1,0,21232,False,{'0': 17632},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170626190135.parquet,WELL-00001_20170626190135.parquet,0,REAL,WELL-00001,21410,1.0,21409.0,3600,3600,-1,0,21410,False,{'0': 17810},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170627000333.parquet,WELL-00001_20170627000333.parquet,0,REAL,WELL-00001,21174,1.0,21173.0,3600,3600,-1,0,21174,False,{'0': 17574},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170823040000.parquet,WELL-00001_20170823040000.parquet,0,REAL,WELL-00001,21446,1.0,21445.0,3600,3600,-1,0,21446,False,{'0': 17846},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170823092146.parquet,WELL-00001_20170823092146.parquet,0,REAL,WELL-00001,16533,1.0,16532.0,3600,3600,-1,0,16533,False,{'0': 12933},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170823140000.parquet,WELL-00001_20170823140000.parquet,0,REAL,WELL-00001,21601,1.0,21600.0,3600,3600,-1,0,21601,False,{'0': 18001},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170823190000.parquet,WELL-00001_20170823190000.parquet,0,REAL,WELL-00001,21535,1.0,21534.0,3600,3600,-1,0,21535,False,{'0': 17935},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170824000000.parquet,WELL-00001_20170824000000.parquet,0,REAL,WELL-00001,21496,1.0,21495.0,3600,3600,-1,0,21496,False,{'0': 17896},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170824050000.parquet,WELL-00001_20170824050000.parquet,0,REAL,WELL-00001,21548,1.0,21547.0,3600,3600,-1,0,21548,False,{'0': 17948},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
